country,year,strata1, ref_pct ,ref_pct_of,source
MWI,2010,Mulanje ,4.3,% HHs,"Basic info doc table 1, p7"
MWI,2010,Mwanza ,0.7,% HHs,"Basic info doc table 1, p7"
MWI,2010,Mzimba ,4.8,% HHs,"Basic info doc table 1, p7"
MWI,2010,Mzuzu City ,0.9,% HHs,"Basic info doc table 1, p7"
MWI,2010,Neno ,0.9,% HHs,"Basic info doc table 1, p7"
MWI,2010,Nkhata Bay ,1.4,% HHs,"Basic info doc table 1, p7"
MWI,2010,Nkhota kota ,2.1,% HHs,"Basic info doc table 1, p7"
MWI,2010,Nsanje ,1.8,% HHs,"Basic info doc table 1, p7"
MWI,2010,Ntcheu ,3.8,% HHs,"Basic info doc table 1, p7"
MWI,2010,Ntchisi ,1.6,% HHs,"Basic info doc table 1, p7"
MWI,2010,Phalombe ,2.6,% HHs,"Basic info doc table 1, p7"
MWI,2010,Rumphi ,1.2,% HHs,"Basic info doc table 1, p7"
MWI,2010,Salima ,2.6,% HHs,"Basic info doc table 1, p7"
MWI,2010,Thyolo ,4.8,% HHs,"Basic info doc table 1, p7"
MWI,2010,Zomba City ,0.6,% HHs,"Basic info doc table 1, p7"
MWI,2010,Zomba,4.8,% HHs,"Basic info doc table 1, p7"
MWI,2013,Balaka ,2.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Blantyre City ,5.2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Blantyre,2.7,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Chikwawa ,3.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Chiradzulu ,2.4,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Chitipa ,1.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Dedza ,4.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Dowa  ,4.1,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Karonga ,2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Kasungu ,4.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Likoma ,0.1,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Lilongwe City ,5.2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Lilongwe,9.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Machinga ,3.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Mangochi ,6.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Mchinji ,3.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Mulanje ,4.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Mwanza ,0.7,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Mzimba ,4.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Mzuzu City ,0.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Neno ,0.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Nkhata Bay ,1.4,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Nkhota kota ,2.1,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Nsanje ,1.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Ntcheu ,3.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Ntchisi ,1.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Phalombe ,2.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Rumphi ,1.2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Salima ,2.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Thyolo ,4.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Zomba City ,0.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2013,Zomba,4.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Balaka ,2.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Blantyre City ,5.2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Blantyre,2.7,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Chikwawa ,3.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Chiradzulu ,2.4,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Chitipa ,1.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Dedza ,4.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Dowa  ,4.1,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Karonga ,2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Kasungu ,4.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Likoma ,0.1,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Lilongwe City ,5.2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Lilongwe,9.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Machinga ,3.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Mangochi ,6.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Mchinji ,3.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Mulanje ,4.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Mwanza ,0.7,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Mzimba ,4.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Mzuzu City ,0.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Neno ,0.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Nkhata Bay ,1.4,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Nkhota kota ,2.1,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Nsanje ,1.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Ntcheu ,3.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Ntchisi ,1.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Phalombe ,2.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Rumphi ,1.2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Salima ,2.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Thyolo ,4.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Zomba City ,0.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2016,Zomba,4.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Balaka ,2.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Blantyre City ,5.2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Blantyre,2.7,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Chikwawa ,3.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Chiradzulu ,2.4,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Chitipa ,1.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Dedza ,4.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Dowa  ,4.1,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Karonga ,2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Kasungu ,4.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Likoma ,0.1,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Lilongwe City ,5.2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Lilongwe,9.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Machinga ,3.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Mangochi ,6.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Mchinji ,3.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Mulanje ,4.3,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Mwanza ,0.7,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Mzimba ,4.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Mzuzu City ,0.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Neno ,0.9,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Nkhata Bay ,1.4,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Nkhota kota ,2.1,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Nsanje ,1.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Ntcheu ,3.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Ntchisi ,1.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Phalombe ,2.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Rumphi ,1.2,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Salima ,2.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Thyolo ,4.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Zomba City ,0.6,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
MWI,2019,Zomba,4.8,% HHs,"Basic info doc, w1, table 1, p7 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2011,Agadez urbain ,2.06,% HHs,"Basic info doc, table 5, p5"
NER,2011,Agadez pastorale,8.84,% HHs,"Basic info doc, table 5, p5"
NER,2011,Diffa urbain ,0.88,% HHs,"Basic info doc, table 5, p5"
NER,2011,Diffa agricole ,2.65,% HHs,"Basic info doc, table 5, p5"
NER,2011,Diffa Agro-pastorale,3.53,% HHs,"Basic info doc, table 5, p5"
NER,2011,Diffa pastorale,2.65,% HHs,"Basic info doc, table 5, p5"
NER,2011,Dosso urbain ,1.77,% HHs,"Basic info doc, table 5, p5"
NER,2011,Dosso agricole ,5.74,% HHs,"Basic info doc, table 5, p5"
NER,2011,Dosso Agro-pastorale,3.09,% HHs,"Basic info doc, table 5, p5"
NER,2011,Maradi urbain ,3.24,% HHs,"Basic info doc, table 5, p5"
NER,2011,Maradi agricole ,3.98,% HHs,"Basic info doc, table 5, p5"
NER,2011,Maradi Agro-pastorale,4.42,% HHs,"Basic info doc, table 5, p5"
NER,2011,Niamey,22.97,% HHs,"Basic info doc, table 5, p5"
NER,2011,Tahoua urbain ,2.95,% HHs,"Basic info doc, table 5, p5"
NER,2011,Tahoua agricole ,3.98,% HHs,"Basic info doc, table 5, p5"
NER,2011,Tahoua Agro-pastorale,3.98,% HHs,"Basic info doc, table 5, p5"
NER,2011,Tahoua pastorale,0.44,% HHs,"Basic info doc, table 5, p5"
NER,2011,Tillaberi urbain ,1.18,% HHs,"Basic info doc, table 5, p5"
NER,2011,Tillaberi agricole ,3.09,% HHs,"Basic info doc, table 5, p5"
NER,2011,Tillaberi Agro-pastorale,3.09,% HHs,"Basic info doc, table 5, p5"
NER,2011,Tillaberi pastorale,3.09,% HHs,"Basic info doc, table 5, p5"
NER,2011,Zinder urbain ,3.53,% HHs,"Basic info doc, table 5, p5"
NER,2011,Zinder agricole,3.09,% HHs,"Basic info doc, table 5, p5"
NER,2011,Zinder Agro-pastorale,4.42,% HHs,"Basic info doc, table 5, p5"
NER,2011,Zinder pastorale,1.33,% HHs,"Basic info doc, table 5, p5"
NER,2014,Agadez urbain ,2.06,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Agadez pastorale,8.84,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Diffa urbain ,0.88,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Diffa agricole ,2.65,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Diffa Agro-pastorale,3.53,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Diffa pastorale,2.65,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Dosso urbain ,1.77,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Dosso agricole ,5.74,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Dosso Agro-pastorale,3.09,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Maradi urbain ,3.24,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Maradi agricole ,3.98,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Maradi Agro-pastorale,4.42,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Niamey,22.97,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Tahoua urbain ,2.95,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Tahoua agricole ,3.98,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Tahoua Agro-pastorale,3.98,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Tahoua pastorale,0.44,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Tillaberi urbain ,1.18,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Tillaberi agricole ,3.09,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Tillaberi Agro-pastorale,3.09,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Tillaberi pastorale,3.09,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Zinder urbain ,3.53,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Zinder agricole,3.09,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Zinder Agro-pastorale,4.42,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2014,Zinder pastorale,1.33,% HHs,"Basic info doc w1, table 5, p5 (stratification not given for subsequent round but same stratifcaiton maintained from first round)"
NER,2018,AGADEZ,10.28,% HHs,"Basic info doc, table 1, p11"
NER,2018,DIFFA,10.76,% HHs,"Basic info doc, table 1, p11"
NER,2018,DOSSO,10.76,% HHs,"Basic info doc, table 1, p11"
NER,2018,MARADI,14.48,% HHs,"Basic info doc, table 1, p11"
NER,2018,TAHOUA,13.33,% HHs,"Basic info doc, table 1, p11"
NER,2018,TILLABERI,13.31,% HHs,"Basic info doc, table 1, p11"
NER,2018,ZINDER,15.14,% HHs,"Basic info doc, table 1, p11"
NER,2018,NIAMEY,11.95,% HHs,"Basic info doc, table 1, p11"
NGA,2010,North Central ,16,% HHs,"Basic info doc, table 3.1, p12"
NGA,2010,North East ,16,% HHs,"Basic info doc, table 3.1, p12"
NGA,2010,North West ,18,% HHs,"Basic info doc, table 3.1, p12"
NGA,2010,South East ,16,% HHs,"Basic info doc, table 3.1, p12"
NGA,2010,South South ,16,% HHs,"Basic info doc, table 3.1, p12"
NGA,2010,South West ,18,% HHs,"Basic info doc, table 3.1, p12"
NGA,2010,North Central - Urban,4.4,% HHs,"Basic info doc, table 3.1, p12; rural urban disaggregation"
NGA,2010,North East - Urban,2.6,% HHs,"Basic info doc, table 3.1, p12; rural urban disaggregation"
NGA,2010,North West - Urban,3.4,% HHs,"Basic info doc, table 3.1, p12; rural urban disaggregation"
NGA,2010,South East - Urban,4.4,% HHs,"Basic info doc, table 3.1, p12; rural urban disaggregation"
NGA,2010,South South - Urban,5,% HHs,"Basic info doc, table 3.1, p12; rural urban disaggregation"
NGA,2010,South West - Urban,12.8,% HHs,"Basic info doc, table 3.1, p12; rural urban disaggregation"
NGA,2010,North Central - Rural,11.6,% HHs,"Basic info doc, table 3.1, p12; rural urban disaggregation"
NGA,2010,North East - Rural,13.4,% HHs,"Basic info doc, table 3.1, p12; rural urban disaggregation"
NGA,2010,North West - Rural,14.6,% HHs,"Basic info doc, table 3.1, p12; rural urban disaggregation"
NGA,2010,South East - Rural,11.6,% HHs,"Basic info doc, table 3.1, p12; rural urban disaggregation"
NGA,2010,South South - Rural,11,% HHs,"Basic info doc, table 3.1, p12; rural urban disaggregation"
NGA,2010,South West - Rural,5.2,% HHs,"Basic info doc, table 3.1, p12; rural urban disaggregation"
NGA,2012,North Central,16.62,% HHs,"Basic info doc, table 3.1, p23"
NGA,2012,North East ,15.71,% HHs,"Basic info doc, table 3.1, p23"
NGA,2012,North West ,18.62,% HHs,"Basic info doc, table 3.1, p23"
NGA,2012,South East ,16.18,% HHs,"Basic info doc, table 3.1, p23"
NGA,2012,South South ,16.14,% HHs,"Basic info doc, table 3.1, p23"
NGA,2012,South West ,16.73,% HHs,"Basic info doc, table 3.1, p23"
NGA,2012,North Central- Urban,4.54,% HHs,"Basic info doc, table 3.1, p23; rural urban disaggregation"
